,rain,sun,wind,grass,trees
0,0.5137319176362948,0.3935591473358476,0.41284032817752925,0.31924984937298606,0.8791843657613126
1,0.08901125200409021,0.7159049563676279,0.8463340936379634,0.35422316152026356,0.2638235953858806
2,0.2816047232145007,0.7220333908610842,0.7000734816687232,0.649435546790111,0.9384680288927
3,0.15597982905018815,0.1785454884726535,0.19426062532766597,0.9347461926734216,0.19155494067901702
4,0.5512906893591336,0.7092371753791976,0.5459636437440892,0.571974678162003,0.49024339610873835
5,0.4373400720466034,0.5788377150008568,0.867566236400789,0.3661382212725932,0.9796621460167451
6,0.06729712501260021,0.1981527730622742,0.43639836857650927,0.5493723084202253,0.37246866328918415
7,0.7594098450346316,0.43744868379337765,0.49010089117017075,0.016326334214026628,0.30730686699053
8,0.5808182984543424,0.7331728094697043,0.7160737358287356,0.7458086975996655,0.9027845964234389
9,0.8335294018103886,0.9386072127540062,0.7413696264627747,0.4929092332397772,0.6782914448166206
10,0.12476622920862912,0.888322799864241,0.0014061881655164088,0.5286709340549176,0.11897838331871724
11,0.25260847865994507,0.40386110935176833,0.8598488699546631,0.1406421226110951,0.9291373281808141
12,0.10906786770222199,0.07221732958839855,0.6328373709670149,0.7561472817336319,0.9423082241740466
13,0.23925258050452647,0.5360775619671218,0.2074973058220243,0.6361200301339117,0.06797145388040116
14,0.476387716590577,0.8005329315402583,0.11730841056902863,0.161762397994213,0.5654222256288357
15,0.766116881329042,0.1412863892475058,0.5340691086518821,0.7645891907911746,0.4455301134471872
16,0.04324711735940101,0.34018024099441857,0.11141952745847061,0.32736297370200973,0.5017957977759523
17,0.7682710624679007,0.7523603001270911,0.7471202849746228,0.6369977625675283,0.9331348183379237
18,0.011214123307189294,0.9277292995463754,0.24653561795387147,0.8954629830166445,0.9159479952752042
19,0.22512963726504975,0.2683661604893245,0.4965820777272817,0.8075847147580223,0.08733779875892322
20,0.8173774627088017,0.45496141842355375,0.16459044985704685,0.4670013454465026,0.8254762584157928
21,0.7942039253434905,0.8428573180415772,0.007900262561670202,0.5880943657492856,0.2808558967889334
22,0.5714351271922649,0.503367845026008,0.38697957840759944,0.9582626357195851,0.05325338536751456
23,0.2289901599626637,0.5714342123029597,0.7814018577513976,0.8176997960960555,0.5573863625136665
